0x80003278 __init_registers
0x8036e02c OSLink
0x80379ab8 sprintf
0x80379c8c printf
0x803b86cc __build_info
0x803b9a50 CPlayerState_PowerUpMaxValues
0x803baeb8 BallGlowColors
0x803baed4 BallTransFlashColors
0x803baef0 BallAuxGlowColors
0x803baf0c BallSwooshColors
0x803baf28 BallSwooshColorsCharged
0x803baf44 BallSwooshColorsJaggy
0x803baf60 skBallInnerGlowColors
0x803c0d24 aMetroidprime
0x803c7038 IncrPickUpSwitchCaseData
0x803cb150 Case1B_Switch_Draw__CMappableObject
0x803cda9c Case0_Switch_AcceptScriptMsg_CScriptSpecialFunction
0x80443030 g_StateManager
0x80591cd4 g_MainStringTable
0x80591cd8 g_Main
0x80591ce0 g_GameState
0x80592f20 g_maxPhazonLagBeforeDamaging
0x805939f4 g_EtankCapacity
0x80597c20 sda_register
0x8059ae00 toc_register
0x805ab440 OSArenaHi
